转债代码,市场,转债名称,最新价,涨跌额,涨跌幅,买入价,卖出价,昨收价,开盘价,最高价,最低价,成交量(股),成交额(元),成交时间
110090,沪市,爱迪转债,138.47,-2.013,-1.433,138.470,138.574,140.483,139.860,140.748,138.000,576520,80374238,15:00:01
127112,深市,尚太转债,150.3,-1.851,-1.217,150.289,150.300,152.151,151.015,154.110,149.616,526353,79919686,15:00:00
113632,沪市,鹤21转债,132.759,-1.127,-0.842,132.702,132.774,133.886,134.154,134.546,132.602,587710,78438402,15:00:01
123172,深市,漱玉转债,133.3,-0.38,-0.284,133.300,133.310,133.680,133.700,135.200,132.700,580590,77870579,15:00:00
111021,沪市,奥锐转债,136.364,-1.665,-1.206,136.400,136.517,138.029,137.964,138.871,136.100,561440,77158727,15:00:00
127038,深市,国微转债,131.803,-0.318,-0.241,131.803,131.900,132.121,131.856,133.916,131.590,570180,75731759,15:00:00
123114,深市,三角转债,136.58,-1.315,-0.954,136.580,136.600,137.895,137.901,138.778,136.010,537270,73801845,15:00:00
113049,沪市,长汽转债,112.049,-0.377,-0.335,111.990,112.049,112.426,112.450,112.662,111.519,644490,72211708,15:00:00
113652,沪市,伟22转债,130.875,-0.543,-0.413,130.941,130.995,131.418,130.928,132.187,130.468,545590,71552851,14:59:59
123188,深市,水羊转债,195.425,-2.575,-1.301,195.425,195.475,198.000,198.000,199.500,193.086,364930,71273029,15:00:00
127105,深市,龙星转债,136.294,-1.246,-0.906,136.294,136.297,137.540,137.540,137.560,135.759,515989,70436171,15:00:00
118036,沪市,力合转债,144.202,1.161,0.812,143.762,144.080,143.041,143.350,146.354,142.692,488000,70392533,15:00:00
127095,深市,广泰转债,146.6,-0.728,-0.494,146.600,146.722,147.328,146.795,148.824,146.307,474210,70001025,15:00:00
113695,沪市,华辰转债,150.001,0.075,0.05,149.911,149.980,149.926,149.926,151.731,149.176,464610,69893005,15:00:01
123222,深市,博俊转债,158.54,-3.38,-2.087,158.487,158.540,161.920,162.000,162.000,156.497,435907,69149753,15:00:00
123215,深市,铭利转债,143.08,-0.887,-0.616,143.071,143.139,143.967,143.660,144.882,142.234,475719,68305795,15:00:00
113616,沪市,韦尔转债,115.235,-1.42,-1.217,115.210,115.250,116.655,116.666,117.400,115.100,583260,67755508,14:59:59
123142,深市,申昊转债,134.042,1.671,1.262,133.910,134.054,132.371,133.500,134.950,131.150,503840,67382475,15:00:00
128142,深市,新乳转债,125.8,-1.804,-1.414,125.767,125.800,127.604,127.480,128.350,125.633,530293,67267147,15:00:00
127056,深市,中特转债,126.915,0.155,0.122,126.825,126.916,126.760,127.000,127.833,126.235,529089,67231662,15:00:00
128138,深市,侨银转债,131.9,0.17,0.129,131.900,131.919,131.730,131.664,132.763,131.660,504140,66639966,15:00:00
113037,沪市,紫银转债,109.625,0.004,0.004,109.626,109.637,109.621,109.613,109.650,109.598,605140,66338872,15:00:00
113066,沪市,平煤转债,144.767,1.617,1.13,144.573,144.907,143.150,143.386,145.518,142.444,444840,64339077,15:00:00
128134,深市,鸿路转债,113.071,-0.789,-0.693,113.011,113.071,113.860,113.800,114.143,112.800,560180,63411662,15:00:00
127040,深市,国泰转债,133.298,-0.791,-0.59,133.283,133.298,134.089,134.119,134.954,133.002,472545,63327010,15:00:00
113671,沪市,武进转债,143.551,-0.75,-0.52,143.404,143.798,144.301,144.301,146.980,142.400,434710,62537820,15:00:00
123104,深市,卫宁转债,128.806,-0.494,-0.382,128.700,128.806,129.300,129.287,130.470,128.363,478945,61986828,15:00:00
123265,深市,耐普转02,147.0,-1.707,-1.148,147.000,147.005,148.707,149.710,149.710,146.271,419015,61822952,15:00:00
113643,沪市,风语转债,136.735,0.463,0.34,136.601,136.755,136.272,136.020,138.058,136.020,448940,61635539,15:00:00
127027,深市,能化转债,119.499,1.342,1.136,119.481,119.499,118.157,118.220,119.960,117.503,511910,60887542,15:00:00
123178,深市,花园转债,136.23,0.078,0.057,136.200,136.230,136.152,137.944,137.944,135.753,432380,59036851,15:00:00
118022,沪市,锂科转债,124.997,-0.558,-0.444,124.904,125.038,125.555,125.008,126.020,124.600,468440,58691788,15:00:00
123224,深市,宇邦转债,144.428,-0.924,-0.636,144.428,144.434,145.352,145.352,146.165,143.513,402596,58297828,15:00:00
